PLAYER,POS,BODY_FAT,HAND_LENGTH,HAND_WIDTH,HEIGHT_NO_SHOES,HEIGHT_SHOES,STANDING_REACH,WEIGHT,WINGSPAN
Elfrid Payton,PG,5.65%,8.75,9,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8''
Gary Harris,SG,4.55%,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75''
Glenn Robinson III,SF,5.05%,9,9.5,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10''
Isaiah Austin,PF,7.50%,8.75,8.75,6' 11.5'',7' 0.5'',9' 4.5'',219.5,7' 4.5''
Jabari Brown,SG,6.05%,9,9.25,6' 3'',6' 4.25'',8' 4'',201.9,6' 8.25''
Jahii Carson,PG,6.45%,7.5,8.75,5' 9.75'',5' 11'',7' 9'',179.6,6' 2''
James McAdoo,PF,6.15%,9.25,9,6' 7.5'',6' 8.75'',8' 10.5'',227.6,7' 2.25''
James Young,SG,5.10%,9,9.5,6' 5.25'',6' 6.75'',8' 8'',213.3,7' 0''
Jarnell Stokes,PF,8.20%,9.75,10.5,6' 7'',6' 8.5'',8' 7.5'',262.8,7' 1.25''
Jerami Grant,SF,3.75%,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214,7' 2.75''
Joe Harris,SG,6.20%,8.5,9.75,6' 4.75'',6' 6.25'',8' 4'',215,6' 6''
Johnny O?Bryant III,PF,10.75%,9.25,9.5,6' 7.25'',6' 8.5'',8' 9'',256.8,7' 2.25''
Jordan Adams,SG,10.80%,8.5,7.5,6' 3.5'',6' 4.75'',8' 6'',208.8,6' 10''
Jordan Bachynski,PF,7.45%,9.25,10,7' 1.25'',7' 2'',9' 0.5'',254.1,7' 4''
Jordan Clarkson,PG,4.30%,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Jordan McRae,SG,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Julius Randle,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
K.J. McDaniels,SF,4.45%,8.75,9.75,6' 4.5'',6' 6'',8' 6'',195.6,6' 11.25''
Kendall Williams,PG,7.20%,8,7.75,6' 2.25'',6' 3.75'',8' 3'',183,6' 5.5''
Khem Birch,PF,6.00%,9,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1''
Kyle Anderson,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
LaQuinton Ross,SF,16.30%,8.75,9.75,6' 6.5'',6' 7.5'',8' 10'',238.7,7' 1.75''
Lamar Patterson,SG,10.75%,9,9.25,6' 4'',6' 5.25'',8' 5'',226,6' 11''
Marcus Smart,PG,10.55%,9,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25''
Markel Brown,SG,4.20%,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75''
Melvin Ejim,SF,6.45%,8.75,9.25,6' 5.25'',6' 7'',8' 7.5'',218.5,6' 11.25''
Nick Johnson,SG,6.05%,8.75,9.75,6' 1.5'',6' 3'',8' 0.5'',198,6' 7.25''
Nik Stauskas,SG,12.05%,8.5,8.5,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75''
Noah Vonleh,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25''
P.J. Hairston,SG,8.20%,8.75,9.75,6' 4.25'',6' 5.25'',8' 5'',228.8,6' 9''
Patric Young,PF,5.45%,9.25,9.5,6' 8.5'',6' 10'',8' 7.5'',246.8,7' 1.75''
Rodney Hood,SF,7.45%,8.5,8.5,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5''
Russ Smith,PG,3.50%,8.25,8.5,5' 11.5'',6' 0.75'',7' 11'',160,6' 3.5''
Sean Kilpatrick,SG,9.20%,9,9,6' 2.5'',6' 4.25'',8' 3'',218.7,6' 7''
Semaj Christon,PG,5.25%,8.5,8.25,6' 1.5'',6' 3.25'',8' 3'',186,6' 6.5''
Shabazz Napier,PG,7.35%,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25''
Spencer Dinwiddie,PG,5.35%,8.25,9,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25''
T.J. Warren,SF,7.95%,8.75,9,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25''
Thanasis Antetokounmpo,SF,6.05%,9,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0''
Tyler Ennis,PG,6.20%,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25''
Xavier Thames,PG,6.40%,8.25,9,6' 2.25'',6' 3.5'',8' 0'',187,6' 4''
Zach LaVine,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25''
