PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Dwayne Jones,C-PF,-%,-,-,6' 8.5'',6' 10'',9' 0.5'',242.2,7' 2.75''
Eddie Basden,SG-SF,-%,-,-,6' 4.25'',6' 5.5'',8' 5'',210,6' 10.25''
Eddy Fobbs,C-PF,-%,-,-,6' 10.25'',6' 11.25'',9' 3.5'',235.2,7' 6.75''
Ellis Myles,PF,-%,-,-,6' 6'',6' 7.25'',8' 9.5'',255.2,6' 9.75''
Ersan Ilyasova,SF,-%,-,-,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25''
Francisco Garcia,SF-SG,-%,-,-,6' 5.75'',6' 7'',8' 7'',189.6,6' 10.75''
Gerald Green,SF,-%,-,-,6' 6'',6' 7.25'',8' 8'',192,6' 9.75''
Hakim Warrick,PF-SF,-%,-,-,6' 7.25'',6' 8.5'',9' 0'',215,7' 2''
Ike Diogu,PF,-%,-,-,6' 6.5'',6' 8'',9' 1'',255.4,7' 3.5''
Ivan McFarlin,PF,-%,-,-,6' 5.5'',6' 6.75'',8' 9.5'',228.6,6' 9''
Jared Homan,C-PF,-%,-,-,6' 7.75'',6' 8.75'',8' 8.5'',248.2,7' 1.25''
Jarrett Jack,PG,-%,-,-,6' 2.5'',6' 3.5'',8' 4'',197.6,6' 7.5''
Jason Klotz,C-PF,-%,-,-,6' 8.5'',6' 9.75'',8' 11.5'',249.4,6' 10''
Jason Maxiell,PF,-%,-,-,6' 5'',6' 6.25'',8' 11'',257.6,7' 3.25''
Jawad Williams,SF,-%,-,-,6' 7'',6' 8'',8' 10.5'',218,7' 1.25''
Joey Graham,SF,-%,-,-,6' 5.25'',6' 6.5'',8' 8'',216.6,6' 8''
John Gilchrist,PG,-%,-,-,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25''
John Lucas III,PG,-%,-,-,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0''
Juan Mendez,PF-SF,-%,-,-,6' 5.25'',6' 6.75'',8' 10.5'',231.4,7' 0''
Julius Hodge,SG-SF,-%,-,-,6' 6'',6' 7'',8' 11.5'',202.2,7' 0.5''
Keith Langford,SG-SF,-%,-,-,6' 2.25'',6' 3.5'',8' 5'',203.2,6' 9''
Kevin Pittsnogle,PF,-%,-,-,6' 9.25'',6' 10.25'',8' 10'',259.2,6' 10.5''
Larry O'Bannon,SG,-%,-,-,6' 3'',6' 4.25'',8' 3.5'',196,6' 6''
Luke Schenscher,C,-%,-,-,6' 11.75'',7' 1.5'',9' 3.5'',241.6,7' 5''
Luther Head,PG-SG,-%,-,-,6' 2'',6' 3'',8' 2.5'',178.8,6' 5.25''
Marcin Gortat,PF-C,-%,-,-,6' 11'',7' 0'',9' 2'',225.2,7' 3.5''
Marcus Campbell,C,-%,-,-,6' 10.25'',7' 0.25'',9' 6'',280.4,7' 6''
Martell Webster,SF,-%,-,-,6' 6'',6' 7.5'',8' 10'',229.6,6' 11''
Martynas Andriuskevicius,C-PF,-%,-,-,7' 1.25'',7' 3'',9' 4.5'',227.8,6' 11.25''
Marvin Williams,PF-SF,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5''
Mike Bell,SF-PF,-%,-,-,6' 8.75'',6' 9.25'',8' 8.5'',206.2,7' 1.5''
Mindaugas Katelynas,SF-PF,-%,-,-,6' 7.5'',6' 8.5'',8' 9.5'',217,6' 11''
Monta Ellis,SG-PG,-%,-,-,6' 2.25'',6' 3.25'',8' 2'',176.6,6' 2.75''
Mustafa Al-Sayyad,PF-C,-%,-,-,,,,-,
Nemanja Aleksandrov,PF-SF,-%,-,-,6' 10'',7' 0'',9' 2'',220.6,6' 11''
Omar Thomas,SF-SG,-%,-,-,6' 3.25'',6' 4.5'',8' 6'',200,6' 8''
Rashad McCants,SG,-%,-,-,6' 2.75'',6' 4'',8' 7.5'',201,6' 10.75''
Rawle Marshall,SG-SF,-%,-,-,6' 4.5'',6' 5.75'',8' 8'',186.6,7' 1''
Raymond Felton,PG,-%,-,-,5' 11.5'',6' 0.25'',8' 2'',199.4,6' 4.25''
Robert Whaley,PF-C,-%,-,-,6' 8'',6' 9'',9' 0'',269.4,7' 2''
Roger Powell,SF,-%,-,-,6' 4.75'',6' 6'',8' 8'',218.6,6' 11.5''
Ronnie Price,PG,-%,-,-,6' 0.75'',6' 2.25'',8' 0.5'',184.8,6' 5.5''
Ronny Turiaf,PF,-%,-,-,6' 8'',6' 9.25'',8' 10.5'',237.8,7' 1.5''
Rudy Fernandez,SG,-%,-,-,6' 4.75'',6' 6'',8' 5.5'',172,6' 7.5''
Sean Banks,SF,-%,-,-,6' 5.75'',6' 7'',9' 0'',206.4,7' 1''
Sean May,PF,-%,-,-,6' 7'',6' 8.5'',8' 9'',258.8,7' 1.25''
Sharrod Ford,PF,-%,-,-,6' 7.25'',6' 8.25'',8' 10'',212.8,7' 1.5''
Taylor Coppenrath,PF-SF,-%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',252.4,6' 11.5''
Travis Diener,PG-SG,-%,-,-,5' 11.75'',6' 1'',7' 9.5'',165.2,5' 11.75''
Tre Simmons,SG-SF,-%,-,-,6' 4'',6' 5'',8' 6.5'',194.2,6' 7.5''
Wayne Simien,PF,-%,-,-,6' 7.25'',6' 9'',8' 11'',255.8,7' 0''
Will Bynum,PG-SG,-%,-,-,5' 10.5'',5' 11.5'',7' 9'',188.8,6' 3.5''
Will Conroy,PG,-%,-,-,6' 1'',6' 2'',8' 0.5'',188.6,6' 3''
