PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Terrence Ross,SG-SF,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25''
Thomas Robinson,PF,5.00%,9.75,10.5,6' 7.75'',6' 8.75'',8' 10'',244.2,7' 3.25''
Tomas Satoransky,PG-SG,5.20%,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25''
Tony Mitchell,SG,5.70%,8.5,10,6' 5.25'',6' 6.25'',8' 4'',216.4,6' 10''
Tony Wroten,PG,5.20%,8,9,6' 4.75'',6' 6'',8' 5'',203.2,6' 9''
Tu Holloway,PG,8.50%,8.75,10,5' 10.5'',5' 11.75'',7' 10.5'',186.8,6' 5.5''
Tyler Zeller,PF-C,6.40%,9,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0''
Tyshawn Taylor,PG,4.20%,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177,6' 6.25''
Will Barton,SG-SF,4.10%,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
William Buford,SG-SF,11.30%,8.75,10,6' 4'',6' 5'',8' 6'',214.6,6' 9.5''
