PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
PJ Washington,PF,6.85%,9,10.25,6' 6.5'',6' 8'',8' 11'',223,7' 2.5''
Omari Spellman,PF-C,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
Moritz Wagner,C-PF,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
Miles Bridges,SF,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211,7' 0.25''
Melvin Frazier,SF-SG,7.90%,9.5,9.5,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
Malik Newman,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Lonnie Walker,SG,5.65%,9,9.5,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
Landry Shamet,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205,6' 10.25''
Kostas Antetokounmpo,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75''
Kevin Huerter,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Kenrich Williams,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Keita Bates-Diop,SG-SF,5.35%,9,8.5,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
Keenan Evans,PG,6.50%,8.5,8,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
Justin Jackson,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
Josh Okogie,SG,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Jontay Porter,C-PF,13.85%,8.75,9.5,6' 10'',6' 11.5'',9' 1'',236,7' 0.25''
Jevon Carter,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
Jerome Robinson,SG,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
Jaylen Hands,PG,5.00%,8,8,6' 1.5'',6' 2.75'',8' 2'',179,6' 5.5''
Jaylen Barford,PG-SG,11.65%,8,8.25,6' 1.25'',6' 2.25'',8' 0.5'',207.6,6' 3.5''
Jaren Jackson,PF-C,7.20%,10,10,6' 9.75'',6' 11.25'',9' 2'',236,7' 5.25''
Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
Jacob Evans,SG-SF,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Isaac Haas,C,12.55%,10,10.5,7' 1.25'',7' 2.75'',9' 3.5'',303,7' 5''
Hamidou Diallo,SG,4.45%,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5''
Grayson Allen,SG,5.55%,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25''
George King,SF-SG,7.25%,9,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5''
Gary Trent,SG,7.00%,8.5,9.5,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
Donte DiVincenzo,SG,5.00%,8.25,9,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
Devonte Graham,PG,4.80%,8.5,9.5,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
Devon Hall,SG,8.45%,8.5,10,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
DeAnthony Melton,SG-PG,5.20%,8.5,9.5,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
Collin Sexton,PG,5.60%,8.25,8.5,6' 0.5'',6' 1.5'',8' 2.5'',183,6' 7.25''
Cody Martin,SG-SF,5.45%,8.5,9,6' 4.75'',6' 6'',8' 6.5'',188.6,6' 10.25''
Chimezie Metu,PF-C,5.05%,9,9.25,6' 8.5'',6' 9.5'',9' 0'',219.6,7' 0.5''
Carsen Edwards,PG,6.30%,8.5,9.25,5' 10.75'',6' 0'',7' 10.5'',195.6,6' 6.25''
Caleb Martin,SF-SG,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
Bruno Fernando,C,5.25%,9.5,10,6' 8.75'',6' 9.75'',9' 1'',233.2,7' 4.25''
Bruce Brown,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
Brian Bowen,SG-SF,7.60%,9,10,6' 6.25'',6' 7.5'',8' 7.5'',202,6' 10.25''
Brandon McCoy,C,8.70%,9.75,9.5,6' 11.5'',7' 0.5'',9' 2.5'',250.4,7' 2''
Billy Preston,PF,5.45%,9.25,9.5,6' 8.75'',6' 10.5'',9' 0'',222.4,7' 2''
Austin Wiley,C,5.00%,9.75,10.25,6' 8.25'',6' 10'',9' 3'',249.4,7' 5''
Anfernee Simons,SG-PG,7.70%,8.75,9,6' 2.25'',6' 3.25'',8' 3.5'',183.2,6' 9.25''
Allonzo Trier,SG,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75''
Alize Johnson,PF,8.10%,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
Aaron Holiday,PG,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5''
