RK,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP40M,BLK/PF
78,"Ricky Woods, F",SELA,28,33.5,47,84,1.68,2,0.56
79,"Clarence Matthews, F",TNST,28,28.8,47,105,1.68,2.33,0.45
80,"Darian Townes, F-C",ARK,31,22.7,52,47,1.68,2.95,1.11
81,"Randall Hanke, F-C",PROV,27,21.6,45,64,1.67,3.09,0.7
82,"Rudy Gay, F",CONN,29,30.3,48,64,1.66,2.19,0.75
83,"Matt Stehle, F",HARV,27,34.3,44,91,1.63,1.9,0.48
84,"Dorien Brown, F",JVST,29,24.6,47,91,1.62,2.64,0.52
85,"Richard Hendrix, F",ALA,29,26.7,47,72,1.62,2.43,0.65
86,"Justin Doellman, F",XAV,31,30.7,50,94,1.61,2.1,0.53
87,"Dramane Diarra, F",KSU,28,25.5,45,91,1.61,2.52,0.49
88,"Brandon Wallace, F",SCAR,33,29.7,53,67,1.61,2.16,0.79
89,"DeVon Hardin, C",CAL,30,24,48,90,1.6,2.67,0.53
90,"James Hughes, C",NIU,25,19.2,40,43,1.6,3.34,0.93
91,"Quincy Davis, F-C",TULN,29,25.4,46,80,1.59,2.5,0.58
92,"Bradley Strickland, F-C",EVAN,29,27,46,83,1.59,2.35,0.55
93,"Deven Dickerson, C",GAST,29,21.5,46,80,1.59,2.95,0.58
94,"Kirk Walters, C",ARIZ,31,19.3,49,75,1.58,3.27,0.65
95,"Charles Bass, F-C",BALL,26,19.3,41,91,1.58,3.27,0.45
96,"Anthony Tolliver, C",CREI,28,28.3,44,75,1.57,2.22,0.59
97,"Anthony Bruin, F",IONA,30,24.3,47,84,1.57,2.58,0.56
98,"Roy Hibbert, C",GTWN,30,23.6,47,57,1.57,2.65,0.82
99,"Abdoulaye Ndiaye, C",USC,30,22.2,47,100,1.57,2.82,0.47
100,"Wilson Chandler, F",DEP,25,30.2,39,77,1.56,2.06,0.51
101,"Sefton Barrett, G-F",CMU,27,31.7,42,94,1.56,1.96,0.45
102,"Chris Daniels, C",AMCC,27,24,42,76,1.56,2.59,0.55
103,"Sammy Sharp, F",TROY,29,29,45,74,1.55,2.14,0.61
104,"Diamon Simpson, F",SMC,29,21.6,45,65,1.55,2.88,0.69
105,"Brandon Polk, F",BUT,31,31.6,48,75,1.55,1.96,0.64
106,"James Mays, F",CLEM,11,24,17,25,1.55,2.58,0.68
107,"Ra'Sean Dickey, C",GT,28,27.6,43,77,1.54,2.23,0.56
108,"Korvotney Barber, F",AUB,28,21.3,43,80,1.54,2.88,0.54
109,"Will Sheridan, F",VILL,29,27.3,44,84,1.52,2.22,0.52
110,"C.J. Giles, C",KU,32,17,48,80,1.5,3.53,0.6
111,"Tim Clifford, C",HC,32,22.1,48,97,1.5,2.72,0.49
112,"Majak Kou, G",L-IL,30,28,45,87,1.5,2.15,0.52
113,"Taj Gray, F",OKLA,28,30.4,42,78,1.5,1.98,0.54
114,"Greg Stiemsma, C",WIS,16,11.7,24,37,1.5,5.13,0.65
115,"James Gist, F",MD,31,22.2,46,75,1.48,2.68,0.61
116,"Rashaad Singleton, C",UGA,29,11.7,43,40,1.48,5.09,1.08
117,"Randal Falker, F",SIU,32,28.3,47,106,1.47,2.07,0.44
118,"Younes Idrissi, F",UGA,30,20.1,44,85,1.47,2.92,0.52
119,"Courtney Sims, C",MICH,28,23.9,41,68,1.46,2.45,0.6
120,"David Padgett, C",LOU,24,26.8,35,69,1.46,2.17,0.51
